1665,692324
1673,690193
1456,695237
1346,694777
1353,691771
1573,696887
1373,698854
1277,695741
1366,691556
1129,696374
1734,697011
1850,698131
1546,697771
1224,691222
1241,696051
1692,69121
1794,691987
1180,699773
1474,690251
1187,694506
1855,693575
1257,691147
1709,697306
1171,69487
1387,692063
1394,691138
1629,690809
1702,699409
1174,69632
1090,694717
1223,692791
1594,695852
1067,695927
1467,69147
1201,693773
1199,694089
1808,699056
1042,690217
1055,695956
1562,692248
1406,690859
1088,699871
1518,690112
1369,69548
1540,691384
1681,697927
1374,692153
1337,697956
1369,697172
1011,69471
1685,693403
1898,694641
1556,698685
1650,693834
1033,690674
1716,691135
1043,695835
1412,69214
1105,695965
1796,697353
1821,692904
1403,697654
1856,692593
1870,698051
1803,693689
1242,69615
1650,69274
1831,698833
1161,697257
1733,695765
1579,691611
1848,691989
1323,6981
1280,695709
1330,694309
1849,699031
1752,692177
1495,696585
1310,692851
1682,691131
1123,696416
1801,693844
1716,690985
1730,697541
1873,69965
1056,698371
1620,69358
1323,696814
1120,691677
1850,69028
1632,691822
1046,699915
1458,695327
1293,691002
1881,699245
1649,699621
1133,697051
1870,691399
1056,698798
1218,69393
1113,694148
1328,692005
1050,696993
1109,696458
1157,69917
1546,690264
1490,697713
1686,695784
1260,691548
1894,691165
1758,693265
1072,699649
1515,695183
1588,69028
1879,697302
1547,692115
1211,696331
1319,697904
1677,696434
1641,695271
1651,690098
1281,692294
1260,690048
1656,693513
1424,699013
1780,693387
1545,690589
1487,692861
1135,697941
1537,695202
1377,694804
1611,697759
1064,699647
1557,691118
1290,696809
1648,692516
1241,694088
1361,692517
1076,691304
1499,690239
1273,694208
1343,695217
1468,690449
1890,693787
1227,697154
1393,691297
1742,690208
1405,695482
1740,690999
1215,696141
1394,698084
1656,698946
1080,698853
1455,699296
1099,699897
1198,696375
1599,6947
1125,6987
1294,691863
1851,691311
1241,69351
1360,697527
1021,695469
1741,694276
1534,69063
1140,697847
1360,697404
1146,696344
1098,694568
1438,694895
1044,691426
1058,694885
1216,69077
1290,698149
1270,691446
1556,691655
1224,697308
1325,691528
1357,697495
1853,693316
1322,695146
1794,698012
1586,69412
1205,693079
1542,691193
1210,696331
1432,698017
1091,692132
1372,6998
1386,69692
1523,690172
1074,69687
1736,690091
1581,697619
1142,699726
1198,699613
1262,69373
1895,692401
1874,699174
1606,691277
1548,697607
1839,693579
1737,696535
1863,699014
1712,695805
1071,697091
1735,691022
1432,696881
1513,690491
1078,698719
1038,692504
1663,69797
1102,692781
1172,694614
1187,6919
1485,693134
1212,695944
1766,696298
1714,690652
1100,697341
1636,693068
1555,695204
1194,69178
1624,695053
1031,695186
1101,691872
1265,695394
1348,690307
1052,691574
1406,698572
1264,698718
1040,6905
1147,69068
1347,691814
1588,695097
1727,695746
1249,699491
1777,692225
1427,694967
1470,693917
1788,690388
1438,69942
1075,6981
1578,694201
1884,692308
1416,691564
1300,692877
1666,694382
1235,690258
1045,690385
1424,690528
1155,698233
1421,69098
1626,692885
1752,69222
1819,694711
1100,690897
1457,692743
1627,697756
1540,694978
1215,693941
1178,691688
1751,692994
1122,693661
1623,691605
1248,692943
1125,690331
1050,69146
1636,690762
1120,69681
1560,690308
1542,690868
1211,69988
1786,695589
1609,692925
1059,693698
1421,697365
1295,690572
1291,690928
1252,691771
1318,69427
1726,69268
1249,697006
1223,696982
1079,696626
1352,691668
1582,698091
1144,696141
1492,693811
1077,696426
1293,693235
1053,69883
1354,69386
1436,694021
1622,690749
1007,697207
1596,692162
1229,697733
1238,697311
1346,698688
1116,698303
1346,690307
1840,6948
1077,698692
1247,691888
1765,695845
1756,69913
1400,694568
1835,695482
1214,693077
1476,695645
1535,697176
1402,697975
1284,690063
1172,699911
1395,699369
1688,691708
1536,699137
1131,698938
1102,696444
1011,697351
1781,692718
1176,695751
1874,693195
1827,693563
1394,692321
1106,694927
1159,696659
1869,696921
1753,69616
1425,693839
1875,69624
1592,698449
1037,69482
1573,696101
1373,697734
1588,696114
1740,693633
1122,691811
1416,694126
1605,690817
1146,699211
1178,699631
